isloantobuy,teamidloanedfrom,playerid,loandateend
0,452,173608,161332
0,189,184200,161332
0,1939,184624,161332
0,110556,185144,161332
0,325,186190,161332
0,570,189730,161332
0,110373,191011,161332
0,111811,192071,161332
0,481,193283,161332
0,449,197891,161332
0,114554,199101,161332
0,1837,199763,161332
0,570,201530,161332
0,1473,202968,161150
0,127,203491,161170
0,570,203668,161332
0,111811,205089,161332
0,115841,205343,161332
0,234,205391,161332
0,111811,205659,161332
0,1952,205818,161332
0,5,206585,161332
0,112387,207645,161302
0,13,207807,161332
0,5,208670,161332
0,101047,210136,161332
0,205,210384,161332
0,462,210463,161332
0,980,210544,161150
0,2,210896,161332
0,206,210964,161332
0,101088,211267,161150
1,115845,211515,161332
0,12,211604,161332
0,8,212602,161332
0,481,212678,161332
0,1795,213699,161332
0,1456,213729,161150
0,576,213949,161332
0,32,213955,161332
0,483,214026,161332
0,121,214525,161332
0,468,215213,161332
0,1860,215322,161332
0,44,215330,161332
0,57,216463,161332
0,89,216467,161332
0,175,216497,161332
0,467,219777,161332
0,1746,219952,161332
0,1939,220045,161332
0,175,220085,161332
0,50,220528,161332
0,112172,220651,161302
0,1925,220901,161332
0,561,221141,161332
0,1923,221197,161332
0,1824,221323,161332
0,112139,221498,161332
0,112259,221538,161150
0,607,221772,161332
0,100087,222263,161332
0,1831,222475,161332
0,1,222562,161332
0,110373,223137,161332
0,1530,223224,161332
0,1796,223689,161332
0,21,223885,161332
0,1961,224021,161332
0,111706,224049,161150
0,1809,224322,161150
0,110,224411,161332
0,64,224438,161302
0,111811,224508,161332
0,325,224718,161302
0,113142,224756,161332
0,206,224933,161332
0,7,225024,161332
0,106,225134,161332
0,243,225161,161332
0,17,225263,161332
0,50,225332,161332
0,109,225668,161332
0,113458,225770,161150
0,101047,225931,161332
0,1746,225995,161332
0,111974,226108,161332
0,244,226215,161332
0,110556,226468,161332
0,1,226491,161332
0,28,226524,161150
0,86,226568,161332
0,10029,227503,161332
0,110394,227526,161150
0,1951,227945,161332
0,1837,228413,161332
0,32,228505,161332
0,160,228614,161302
1,115845,228698,161332
0,1843,228788,161332
0,112172,228941,161332
0,101088,228961,161150
0,462,229010,161332
0,1796,229091,161332
0,18,229266,161332
0,166,230065,161332
0,45,230658,161332
0,73,230767,161332
0,1906,231237,161332
0,453,231247,161150
0,13,231292,161332
0,17,231318,161332
0,481,231340,161332
0,9,231697,161332
0,8,231838,161332
0,480,231873,161332
0,1962,231926,161119
0,113300,231933,161302
0,219,231969,161332
0,8,232080,161332
0,14,232081,161150
0,1943,232284,161332
0,487,232671,161332
0,1831,232786,161332
0,301,232814,161332
0,112670,232826,161150
0,294,233045,161332
0,111716,233057,161150
0,1473,233185,161150
0,47,233189,161332
0,8,233301,161332
0,217,233373,161332
0,111092,233413,161332
0,245,233493,161332
0,68,233767,161332
0,461,233885,161332
0,44,234102,161332
0,436,234134,161332
0,1951,234258,161332
0,634,234572,161332
0,1463,234641,161150
0,237,235172,161332
0,111674,235514,161332
0,111974,235806,161332
0,1842,235813,161332
0,1968,235824,161332
0,219,235875,161332
0,110556,235942,161332
0,8,235945,161332
0,111706,235966,161150
0,111811,236213,161332
0,483,236276,161332
0,8,236532,161332
0,101014,236535,161332
0,1831,236613,161332
0,462,236760,161332
0,834,236845,161119
0,1860,236940,161332
0,325,237232,161302
0,1796,237619,161332
0,210,237708,161332
0,14,237809,161332
0,1798,238059,161332
0,19,238060,161332
0,325,238067,161332
0,112387,238224,161332
0,1806,238319,161332
0,1923,238368,161332
0,607,238519,161332
0,1831,238662,161332
0,436,239207,161332
0,166,239589,161332
0,111974,239807,161332
0,325,239892,161332
0,114912,239964,161332
0,19,240097,161332
1,10032,240117,161150
0,47,240277,161332
0,94,240331,161332
1,205,240343,161332
0,112670,240468,161150
0,12,240597,161332
0,1843,240628,161332
0,206,240671,161302
0,111434,240770,161332
0,448,240900,161332
0,47,240938,161332
0,110404,240964,161150
0,44,241103,161332
0,674,241168,161332
0,111651,241394,161150
0,44,241410,161332
0,110062,241686,161332
0,112809,241696,161150
0,748,241944,161332
0,101088,242002,161150
0,112670,242073,161332
0,918,242134,161150
0,254,242202,161332
0,100761,242325,161332
0,110395,242342,161150
0,144,242382,161332
0,9,242453,161332
0,10030,242562,161332
0,112670,242569,161150
0,1943,242577,161332
0,1,242710,161151
0,1861,242841,161332
0,12,242853,161332
0,327,242994,161332
0,449,242999,161332
0,325,243001,161302
0,1943,243048,161332
0,9,243056,161332
0,45,243237,161697
0,171,243378,161332
0,11,243414,161332
0,246,243481,161332
0,169,243619,161332
0,1808,243675,161332
0,114326,243690,161332
0,18,243702,161332
0,191,243773,161332
0,1925,243849,161332
0,1933,244004,161151
0,503,244024,161332
0,25,244068,161332
0,1808,244176,161332
0,237,244193,161332
0,83,244202,161302
0,36,244233,161332
0,55,244269,161332
0,13,244277,161332
0,115841,244316,161332
0,44,244364,161332
0,472,244394,161332
0,100888,244523,161332
0,111088,244551,161150
0,110556,244840,161332
0,28,244859,161332
0,1793,244867,161332
0,45,244874,161332
0,327,244938,161332
0,236,245021,161332
0,73,245367,161332
0,320,245397,161150
0,453,245598,161332
0,480,245632,161332
0,210,245716,161332
0,74,245822,161332
0,325,245849,161332
0,110902,245870,161332
0,449,245894,161332
0,189,245900,161332
0,18,245902,161332
0,240,245999,161332
0,112134,246047,161150
0,1808,246054,161332
0,457,246169,161332
0,95,246392,161332
0,269,246399,161332
0,112172,246401,161332
0,236,246422,161332
0,243,246455,161332
0,111022,246667,161332
0,94,246681,161332
0,111629,246715,161302
0,110,246763,161332
0,819,246814,161332
0,45,246871,161332
0,101047,246929,161302
0,563,247176,161151
0,448,247328,161332
0,898,247360,161332
0,8,247361,161332
0,110556,247388,161332
0,1796,247395,161332
0,116311,247513,161332
0,94,247528,161332
0,9,247601,161332
0,241,247678,161332
0,44,247888,161332
0,110724,247931,161332
0,100761,247955,161332
0,114385,247976,161332
0,114385,248049,161332
0,310,248117,161332
0,206,248147,161332
0,5,248158,161332
0,113302,248252,161302
0,113299,248264,161302
0,115845,248385,161332
0,100761,248443,161332
0,114385,248588,161332
0,110374,248674,161332
0,94,248740,161332
0,111092,248770,161119
0,111974,248787,161332
0,744,248788,161149
0,10031,248831,161332
0,1804,248839,161332
0,111144,248856,161120
0,673,250854,161332
0,21,250955,161332
0,1931,250994,161332
0,112965,251139,161516
0,230,251187,161332
0,77,251427,161332
0,234,251436,161332
0,112172,251451,161332
0,83,251454,161332
0,191,251464,161332
0,47,251470,161332
