playerid35,playerid0,playerid9,customsub0in,playerid36,rightfreekicktakerid,playerid44,playerid27,playerid1,playerid38,playerid31,playerid7,playerid20,playerid39,playerid42,playerid48,playerid13,playerid6,customsub0out,playerid37,playerid5,playerid45,playerid8,playerid14,playerid46,longkicktakerid,playerid12,playerid2,rightcornerkicktakerid,playerid30,customsub1in,playerid15,playerid41,playerid47,playerid23,playerid16,customsub1out,leftcornerkicktakerid,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,playerid22,playerid24,playerid11,customsub2in,playerid3,captainid,playerid51,leftfreekicktakerid,playerid25,playerid33,playerid19,playerid17,playerid26,playerid50,playerid34,penaltytakerid,playerid32,freekicktakerid,playerid28,playerid21,playerid10,playerid43,playerid29
-1,233934,230666,-1,-1,222665,-1,201118,231936,-1,226110,234378,240273,-1,-1,-1,205498,222665,-1,-1,209989,-1,246669,235790,-1,222665,236988,243715,246669,274387,-1,232938,-1,-1,247463,265693,-1,251566,231448,227813,-1,-1,-1,1,251805,213051,207421,-1,232580,222665,-1,222665,251530,-1,256958,220901,241928,-1,-1,246669,246671,222665,271743,228295,251566,-1,259717
-1,202811,229906,-1,-1,236499,-1,210635,227174,-1,256556,210881,238067,-1,-1,-1,216393,236987,-1,-1,236499,-1,246923,207948,-1,236499,241852,227678,236499,268550,-1,241464,-1,-1,212501,219693,-1,236499,226162,200458,-1,-1,-1,2,217036,266609,247172,-1,212419,210881,-1,236499,261336,-1,205989,207557,231743,-1,-1,221697,258748,236499,268583,189242,221697,-1,257793
-1,240595,220139,-1,-1,218343,-1,264120,238336,-1,-1,218343,243167,-1,-1,-1,212099,259240,-1,-1,234319,-1,238196,242749,-1,257063,234177,242751,218343,-1,-1,256358,-1,-1,251522,232185,-1,234319,246349,235770,-1,-1,-1,3,264746,256366,213905,-1,221281,234319,-1,257063,274959,-1,231540,243158,256965,-1,-1,220139,-1,257063,277556,248534,257063,-1,264747
-1,234803,220039,-1,-1,221705,-1,-1,229073,-1,-1,235807,239540,-1,-1,-1,243849,212366,-1,-1,231951,-1,221705,255913,-1,235807,244559,224447,235807,-1,-1,254522,-1,-1,240912,263906,-1,231951,212992,248718,-1,-1,-1,4,210046,-1,236321,-1,212090,212090,-1,235807,-1,-1,165191,219795,-1,-1,-1,220039,-1,235807,-1,211204,225867,-1,-1
-1,228789,232411,-1,-1,238074,-1,270039,238074,-1,240740,254796,248695,-1,-1,-1,263620,238216,-1,-1,247090,-1,202652,239231,-1,247090,256079,164240,238074,235454,-1,230918,-1,-1,259356,259307,-1,229984,256268,229984,-1,-1,-1,5,248465,204246,246340,-1,262859,238074,-1,202652,257084,-1,242578,269626,248474,-1,-1,247090,192505,238074,264115,229942,259197,-1,272777
-1,204935,243282,-1,-1,243282,-1,211575,257896,-1,247764,208135,180216,-1,-1,-1,270866,213655,-1,-1,257057,-1,193474,220633,-1,243282,251892,207599,243282,277434,-1,243657,-1,-1,211117,244380,-1,213655,232080,152908,-1,-1,-1,7,211784,214947,236276,-1,202695,207599,-1,243282,272651,-1,225793,237704,264039,-1,-1,221479,246950,243282,263168,247649,221479,-1,118794
-1,242656,232104,-1,-1,232104,-1,203570,186156,-1,-1,251954,270209,-1,-1,-1,245715,270208,-1,-1,235735,-1,233500,254121,-1,232104,243390,239360,270208,-1,-1,254529,-1,-1,270206,253969,-1,270208,246053,208892,-1,-1,-1,8,253407,261374,245637,-1,189456,189456,-1,232104,241184,-1,206534,193331,243702,-1,-1,233500,-1,232104,247249,229266,258906,-1,221743
-1,212831,209331,-1,-1,231281,-1,271976,231281,-1,253428,239837,271975,-1,-1,-1,189509,236772,-1,-1,232487,-1,242516,242434,-1,231281,253072,237678,231281,259430,-1,197061,-1,-1,240926,225100,-1,216267,246174,216267,-1,-1,-1,9,194911,273651,224458,-1,203376,203376,-1,231281,260406,-1,232223,240913,254588,-1,-1,209331,271974,231281,265459,266815,241084,-1,264298
-1,210257,239085,-1,-1,192985,-1,263955,188377,-1,277295,207410,241811,-1,-1,-1,224081,192985,-1,-1,231866,-1,218667,229237,-1,192985,246191,203574,192985,258560,-1,251517,-1,-1,234777,271574,-1,192985,210514,208920,-1,-1,-1,10,264349,157804,237692,-1,239818,192985,-1,192985,252793,-1,257534,200159,253715,-1,-1,239085,261621,192985,254120,246420,206517,-1,262981
-1,226753,231677,-1,-1,212198,-1,268445,229880,-1,233306,233064,221363,-1,-1,-1,190460,212198,-1,-1,200145,-1,255475,237238,-1,212198,253283,201535,212198,258171,-1,234574,-1,-1,254088,238041,-1,212198,221660,205988,-1,-1,-1,11,203263,269136,268438,-1,239301,212198,-1,212198,268889,-1,211300,163264,260910,-1,-1,212198,225508,212198,268435,259399,233049,-1,253465
