firstname,commonname,surname,skintypecode,haircolorcode,facialhairtypecode,managerid,hairtypecode,headtypecode,height,seasonaloutfitid,weight,hashighqualityhead,gender,headassetid,ethnicity,faceposerpreset,teamid,eyebrowcode,eyecolorcode,personalityid,headclasscode,nationality,sideburnscode,headvariation,skintonecode,outfitid,hairstylecode,bodytypecode,managerjointeamdate,facialhaircolorcode
Chuck,,Deanman,51,24,3,249134,114,3513,180,5543,75,0,0,26542,2,0,0,0,3,0,0,70,0,0,2,5504,0,83,160739,8
Dhaahir,,Jabour,2,0,4,249244,29,1519,180,5533,75,0,0,26543,4,0,0,1,7,0,0,183,0,0,4,5533,0,82,160858,0
Jaroslav,,Puškárik,2,3,8,249645,205,4009,180,5502,75,0,0,26541,2,3,0,0,6,0,0,43,0,0,2,5534,0,82,160739,6
Keng,Mal Chin Keng,Mal-Chin,51,21,0,249842,57,555,180,5505,75,0,0,26546,4,0,0,0,9,0,0,167,0,0,4,5505,0,81,160739,0
Mundhir,,Satter,2,0,4,250134,673,1546,180,5514,75,0,0,26540,4,3,0,1,1,0,0,183,0,0,4,5514,0,82,160858,0
Álvaro,,Bocarez,2,0,6,262835,187,11,177,5529,75,0,0,26543,4,0,0,0,7,1,0,56,0,0,4,5567,0,82,160397,0
Kleberton João,Kleberton Eldinha,Eldinha Perez,2,0,4,272580,445,1536,172,5529,75,0,0,26541,4,3,0,0,6,0,0,54,0,0,4,5523,0,88,160739,0
Lavarius,,Malamgoui,2,0,4,272581,28,1012,186,5504,75,0,0,26545,8,2,0,1,9,0,0,115,0,0,8,5504,0,86,160739,0
Mamourou,,N'Zako,51,0,18,272582,0,1037,177,5529,75,0,0,26545,7,2,0,2,9,0,0,108,0,0,7,5500,0,82,160739,24
Ransford,,Douasong,1,0,16,272583,695,1029,190,5580,75,0,0,26545,9,2,0,0,9,0,0,117,0,0,9,5580,0,85,160739,0
Blaise,,Khollané,51,0,3,272584,25,1006,174,5511,75,0,0,26545,8,2,0,0,9,1,0,136,0,0,8,5510,0,89,160739,0
Faouzi,,El Mizhad,2,0,6,272585,645,1553,182,5514,75,0,0,26543,3,0,0,0,7,0,0,129,0,0,3,5514,0,82,160739,0
Khalen,,Anyakuro,51,23,3,272586,290,1037,189,5531,75,0,0,26547,8,0,0,0,3,0,0,133,0,0,8,5523,0,84,160739,9
Herman,,Soumaho'o,2,0,8,272587,201,1038,193,5510,75,0,0,26545,8,2,0,1,9,0,0,103,0,0,8,5510,0,85,160739,0
Bahmed,,Abdeladji,51,24,4,272588,199,1536,177,5501,75,0,0,26542,4,0,0,0,3,1,0,97,0,0,4,5501,0,81,160739,24
Besfort,,Rofosson,2,5,4,272589,200,1543,174,5535,75,0,0,26541,2,3,0,2,6,1,0,46,0,0,2,5578,0,87,160739,5
