firstnameid,lastnameid,playerjerseynameid,commonnameid,gkglovetypecode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,artificialkey,usercaneditname,avatarpomid,attackingworkrate,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,eyebrowcode,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,defensiveworkrate,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
13542,21579,21579,0,0,1,21,3,92,1,92,0,0,0,87,0,71,39,12,78,84,0,0,88,9,0,46,11,80,88,13,0,83,89,86,2028,78,95,33,0,0,1001,93,84,173,1,0,25,62,0,142749,18,0,92,60,88,17104896,0,70,0,0,1048576,91,0,570,12,40,3,82,93,4,0,1,0,0,0,0,41,90,83,61,0,0,0,0,15,9,0,0,0,160601,0,1,0,133,1,0,4,54,4,0,72,570,0,9,0,4,0,83,10,0,88,501,4,0,0,0,0,0,15,0,2,0,87,33,0,-1,81,0,0,0
13534,30696,13170,0,0,2,3,0,57,0,75,0,0,0,73,0,78,87,14,84,65,0,0,48,7,0,89,15,91,89,9,0,87,84,80,2028,58,77,85,0,0,2017,81,83,178,1,0,7,73,1,142745,3,0,88,78,71,2110468,0,74,0,0,8388608,81,0,1041,9,86,4,90,55,1,0,2,0,0,2,0,83,82,84,81,0,1,0,0,7,3,0,0,0,160432,0,2,0,52,1,0,4,50,5,0,88,1041,0,9,0,1,1216,60,3,0,89,500,2,0,0,0,0,0,0,0,2,0,83,84,0,2,57,0,0,3
19466,2646,2646,0,0,0,0,6,67,0,66,0,0,0,83,0,90,82,-1,90,89,1,0,90,10,0,78,15,76,87,8,20,82,82,84,2028,84,80,75,0,0,4003,81,83,188,1,0,18,82,1,143888,14,0,88,83,91,134221840,0,85,1,0,4,66,0,3647,11,78,4,91,84,3,0,3,0,0,0,0,82,78,85,82,0,0,0,0,14,6,0,0,0,160432,0,2,0,21,1,0,4,83,2,0,86,3647,0,13,0,2,16,87,4,0,87,500,4,0,0,0,0,0,0,0,5,0,81,73,0,-1,83,0,0,0
17528,17922,9412,17527,0,0,0,6,75,0,89,0,0,0,88,0,129,38,18,81,82,2,0,86,8,0,38,15,90,89,13,0,87,87,85,2028,85,92,36,0,0,1518,90,88,180,1,0,12,75,1,142466,23,0,91,77,81,18088460,0,75,1,0,65536,77,0,5589,12,38,5,88,81,3,0,4,0,0,2,0,75,91,86,59,0,0,0,0,8,3,0,0,0,160432,0,1,0,38,1,0,4,67,2,0,85,5589,0,10,0,3,0,84,3,0,89,500,3,0,0,0,0,0,0,0,2,0,89,33,0,-1,77,0,0,0
24281,9296,9296,0,0,0,3,1,52,0,59,0,0,0,46,0,6,91,-1,75,59,0,0,40,13,0,89,15,52,88,6,0,84,88,54,2028,43,54,88,0,0,2017,64,81,189,0,0,-1,86,1,144660,5,0,73,85,63,167822352,0,87,1,0,8192,56,0,7289,6,90,4,81,31,2,0,5,0,0,0,0,85,83,65,85,0,2,0,0,10,3,0,0,0,160432,0,0,0,14,1,0,3,81,2,0,82,7289,0,10,0,2,1024,48,6,0,88,500,3,0,0,0,0,0,0,0,290,0,82,91,0,-1,55,0,0,0
1590,23006,23006,0,0,2,6,0,92,0,83,0,0,0,85,0,12,67,-1,94,89,0,0,83,5,0,77,0,88,90,5,0,93,94,94,2028,76,89,64,0,0,2510,89,72,177,1,0,10,64,3,144853,14,0,93,66,79,786560,0,67,0,0,8,75,0,7763,5,69,4,94,94,4,0,6,0,0,0,0,53,74,93,56,0,0,0,0,5,3,0,0,0,160432,0,0,0,27,1,0,4,57,5,0,83,7763,0,5,0,2,144,79,3,0,90,501,1,0,0,0,0,0,15,0,1,1,73,72,0,-1,77,0,0,0
22835,3302,3302,0,0,0,0,0,62,0,67,0,0,0,63,0,16,73,14,73,62,0,0,74,1,0,74,0,67,67,1,0,60,74,71,2026,65,69,68,0,0,1,71,74,190,0,0,12,69,0,150364,10,0,74,71,73,0,0,84,1,0,0,79,0,26504,1,50,1,77,61,2,0,7,0,0,0,0,71,74,72,58,0,0,0,0,1,9,0,0,0,160963,0,2,0,18,2,0,3,72,4,0,76,26504,0,1,0,2,0,67,9,0,67,500,3,0,0,2,0,0,0,0,2,0,74,1,0,-1,39,0,0,0
1151,12412,12412,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,15,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,20,1,1,0,0,1,1,1,131,1,0,-1,1,0,156069,16,0,1,2,15,0,0,41,1,0,0,1,0,26520,1,1,1,1,15,1,0,8,0,0,0,0,1,1,2,1,0,0,0,0,1,9,1,0,0,160252,0,0,0,14,1,0,3,27,4,0,1,26520,0,1,0,1,0,13,7,0,1,500,3,0,0,2,0,0,0,0,90,0,1,1,0,27,1,0,0,0
10180,29483,29483,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,15,0,0,1,1,0,1,2,1,1,1,0,1,1,1,2026,20,1,1,0,0,1,1,1,130,1,0,-1,1,0,156069,16,0,1,2,15,0,0,54,0,0,0,1,0,26521,1,1,1,1,15,1,0,9,0,0,0,0,1,1,2,1,0,0,0,0,1,2,1,0,0,160252,0,0,0,14,1,0,3,27,4,0,1,26521,0,1,0,1,0,13,2,0,1,502,3,0,0,2,0,0,2,0,91,0,1,1,0,27,1,0,0,0
1622,4468,4468,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2026,1,1,1,0,0,1,1,1,184,0,0,-1,1,0,142407,16,0,1,2,1,0,0,87,0,0,0,1,0,26523,1,1,1,1,1,1,0,10,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,160481,1,0,0,14,1,0,3,27,2,0,1,26523,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,3,0,1,1,0,27,1,0,0,0
