leaguegoals,isamongtopscorers,yellows,isamongtopscorersinteam,jerseynumber,position,artificialkey,teamid,leaguegoalsprevmatch,injury,leagueappearances,istopscorer,leaguegoalsprevthreematches,playerid,form,reds
0,0,0,0,1,0,0,269,0,0,0,0,0,228505,3,0
0,0,0,0,14,2,1,269,0,0,0,0,0,215684,3,0
0,0,0,0,3,4,2,269,0,0,0,0,0,257072,3,0
0,0,0,0,32,5,3,269,0,0,0,0,0,250851,3,0
0,0,0,0,4,6,4,269,0,0,0,0,0,234827,3,0
0,0,0,0,15,8,5,269,0,0,0,0,0,233476,3,0
0,0,0,0,36,23,6,269,0,0,0,0,0,257167,3,0
0,0,0,0,10,13,7,269,0,0,0,0,0,172522,3,0
0,0,0,0,8,15,8,269,0,0,0,0,0,224483,3,0
0,0,0,0,7,27,9,269,0,0,0,0,0,251356,3,0
0,0,0,0,9,25,10,269,0,0,0,0,0,201876,3,0
0,0,0,0,11,28,11,269,0,0,0,0,0,242162,3,0
0,0,0,0,22,28,12,269,0,0,0,0,0,211671,3,0
0,0,0,0,5,28,13,269,0,0,0,0,0,225948,3,0
0,0,0,0,18,28,14,269,0,0,0,0,0,238725,3,0
0,0,0,0,16,28,15,269,0,0,0,0,0,215693,3,0
0,0,0,0,24,28,16,269,0,0,0,0,0,264515,3,0
0,0,0,0,23,28,17,269,0,0,0,0,0,246310,3,0
0,0,0,0,41,28,18,269,0,0,0,0,0,269903,3,0
0,0,0,0,2,28,19,269,0,0,0,0,0,254638,3,0
0,0,0,0,20,28,20,269,0,0,0,0,0,275233,3,0
0,0,0,0,99,28,21,269,0,0,0,0,0,270368,3,0
0,0,0,0,19,28,22,269,0,0,0,0,0,269901,3,0
0,0,0,0,28,29,23,269,0,0,0,0,0,255185,3,0
0,0,0,0,40,29,24,269,0,0,0,0,0,259469,3,0
0,0,0,0,1,0,25,270,0,0,0,0,0,200209,3,0
0,0,0,0,5,3,26,270,0,0,0,0,0,262794,3,0
0,0,0,0,20,4,27,270,0,0,0,0,0,227520,3,0
0,0,0,0,40,6,28,270,0,0,0,0,0,262588,3,0
0,0,0,0,3,7,29,270,0,0,0,0,0,257036,3,0
0,0,0,0,6,13,30,270,0,0,0,0,0,250853,3,0
0,0,0,0,14,14,31,270,0,0,0,0,0,231233,3,0
0,0,0,0,21,15,32,270,0,0,0,0,0,257259,3,0
0,0,0,0,10,20,33,270,0,0,0,0,0,250998,3,0
0,0,0,0,17,22,34,270,0,0,0,0,0,243666,3,0
0,0,0,0,23,25,35,270,0,0,0,0,0,271320,3,0
0,0,0,0,7,28,36,270,0,0,0,0,0,201266,3,0
0,0,0,0,11,28,37,270,0,0,0,0,0,275742,3,0
0,0,0,0,24,28,38,270,0,0,0,0,0,246959,3,0
0,0,0,0,4,28,39,270,0,0,0,0,0,233492,3,0
0,0,0,0,16,28,40,270,0,0,0,0,0,236446,3,0
0,0,0,0,9,28,41,270,0,0,0,0,0,256778,3,0
0,0,0,0,26,28,42,270,0,0,0,0,0,262572,3,0
0,0,0,0,22,28,43,270,0,0,0,0,0,259644,3,0
0,0,0,0,18,28,44,270,0,0,0,0,0,262558,3,0
0,0,0,0,43,28,45,270,0,0,0,0,0,275332,3,0
0,0,0,0,8,28,46,270,0,0,0,0,0,262551,3,0
0,0,0,0,27,28,47,270,0,0,0,0,0,276433,3,0
0,0,0,0,30,29,48,270,0,0,0,0,0,265179,3,0
0,0,0,0,41,29,49,270,0,0,0,0,0,275271,3,0
0,0,0,0,45,0,50,271,0,0,0,0,0,229091,3,0
0,0,0,0,2,2,51,271,0,0,0,0,0,238222,3,0
0,0,0,0,14,4,52,271,0,0,0,0,0,243886,3,0
0,0,0,0,5,5,53,271,0,0,0,0,0,231828,3,0
0,0,0,0,23,6,54,271,0,0,0,0,0,261573,3,0
0,0,0,0,19,8,55,271,0,0,0,0,0,253472,3,0
0,0,0,0,20,23,56,271,0,0,0,0,0,225931,3,0
0,0,0,0,6,13,57,271,0,0,0,0,0,213530,3,0
0,0,0,0,7,15,58,271,0,0,0,0,0,235636,3,0
0,0,0,0,8,27,59,271,0,0,0,0,0,236883,3,0
0,0,0,0,9,25,60,271,0,0,0,0,0,191083,3,0
0,0,0,0,15,28,61,271,0,0,0,0,0,248175,3,0
0,0,0,0,21,28,62,271,0,0,0,0,0,248824,3,0
0,0,0,0,27,28,63,271,0,0,0,0,0,238629,3,0
0,0,0,0,11,28,64,271,0,0,0,0,0,253409,3,0
0,0,0,0,1,28,65,271,0,0,0,0,0,132740,3,0
0,0,0,0,13,28,66,271,0,0,0,0,0,232225,3,0
0,0,0,0,31,28,67,271,0,0,0,0,0,256746,3,0
0,0,0,0,22,28,68,271,0,0,0,0,0,234096,3,0
0,0,0,0,29,28,69,271,0,0,0,0,0,239926,3,0
0,0,0,0,32,28,70,271,0,0,0,0,0,276352,3,0
0,0,0,0,44,28,71,271,0,0,0,0,0,270641,3,0
0,0,0,0,17,28,72,271,0,0,0,0,0,243539,3,0
0,0,0,0,42,29,73,271,0,0,0,0,0,268506,3,0
0,0,0,0,41,29,74,271,0,0,0,0,0,274710,3,0
0,0,0,0,25,29,75,271,0,0,0,0,0,274678,3,0
0,0,0,0,24,29,76,271,0,0,0,0,0,248371,3,0
0,0,0,0,28,29,77,271,0,0,0,0,0,268504,3,0
0,0,0,0,1,0,78,272,0,0,0,0,0,184040,3,0
0,0,0,0,20,3,79,272,0,0,0,0,0,232311,3,0
0,0,0,0,28,4,80,272,0,0,0,0,0,273628,3,0
0,0,0,0,4,6,81,272,0,0,0,0,0,198538,3,0
0,0,0,0,23,7,82,272,0,0,0,0,0,271080,3,0
0,0,0,0,21,23,83,272,0,0,0,0,0,270399,3,0
0,0,0,0,8,13,84,272,0,0,0,0,0,240653,3,0
0,0,0,0,6,15,85,272,0,0,0,0,0,251281,3,0
0,0,0,0,10,27,86,272,0,0,0,0,0,260778,3,0
0,0,0,0,22,18,87,272,0,0,0,0,0,247658,3,0
0,0,0,0,9,25,88,272,0,0,0,0,0,201304,3,0
0,0,0,0,7,28,89,272,0,0,0,0,0,237051,3,0
0,0,0,0,30,28,90,272,0,0,0,0,0,252416,3,0
0,0,0,0,16,28,91,272,0,0,0,0,0,224436,3,0
0,0,0,0,14,28,92,272,0,0,0,0,0,248493,3,0
0,0,0,0,13,28,93,272,0,0,0,0,0,246240,3,0
0,0,0,0,24,28,94,272,0,0,0,0,0,273825,3,0
