cpmorph_mouth_tweak_c,cpmorph_chin_tweak_a,cpmorph_brow_tweak_b,cpmorph_nose_preset,cpmorph_chin_tweak_b,cpmorph_eye_tweak_d,cpmorph_forehead_preset,cpmorph_head_tweak_a,cpmorph_forehead_tweak_a,cpmorph_nose_tweak_c,cpmorph_brow_tweak_c,cpmorph_chin_tweak_e,cpmorph_brow_tweak_e,cpmorph_nose_tweak_b,cpmorph_nose_tweak_d,cpmorph_brow_tweak_d,cpmorph_head_tweak_e,cpmorph_forehead_tweak_e,cpmorph_ear_tweak_a,cpmorph_chin_preset,cpmorph_mouth_tweak_a,cpmorph_chin_tweak_c,cpmorph_eye_tweak_a,cpmorph_nose_tweak_e,cpmorph_chin_tweak_d,cpmorph_forehead_tweak_b,cpmorph_head_tweak_b,cpmorph_ear_preset,cpmorph_eye_preset,cpmorph_head_tweak_d,cpmorph_forehead_tweak_d,cpmorph_head_tweak_c,cpmorph_forehead_tweak_c,cpmorph_brow_tweak_a,cpmorph_eye_tweak_b,cpmorph_ear_tweak_e,cpmorph_brow_preset,cpmorph_head_preset,cpmorph_mouth_tweak_e,cpmorph_eye_tweak_e,cpmorph_nose_tweak_a,cpmorph_mouth_tweak_b,cpmorph_mouth_tweak_d,cpmorph_ear_tweak_d,cpmorph_mouth_preset,cpmorph_ear_tweak_b,cpmorph_eye_tweak_c,cpmorph_ear_tweak_c,cpmorph_mouth_preset_weight,cpmorph_forehead_preset_weight,cpmorph_ear_preset_weight,create_playerid,cpmorph_nose_preset_weight,cpmorph_head_preset_weight,cpmorph_eye_preset_weight,cpmorph_brow_preset_weight,cpmorph_chin_preset_weight
-29,-32,44,9,75,28,0,48,0,5,-12,-52,-100,86,86,-14,48,0,-52,1,37,-18,77,-15,5,0,-64,4,20,56,0,14,0,-44,52,-100,0,11,0,0,-36,-58,100,85,4,64,39,-87,100,100,63,176693,87,100,56,0,100
-100,43,-8,2,54,14,0,-58,0,11,-57,-1,20,97,84,5,39,0,-86,8,-67,-6,-6,52,-8,0,-40,2,0,100,0,5,0,50,41,-57,0,5,0,0,-100,-100,16,99,7,100,60,22,84,100,73,177633,84,55,80,0,88
9,75,-40,12,100,-12,0,-52,0,-52,-65,7,9,-17,-54,-44,-31,0,-84,0,-4,1,30,-55,11,0,-95,4,11,58,0,3,0,37,16,-1,0,11,0,0,-82,-100,100,18,7,100,12,-44,52,100,20,178750,52,86,87,0,93
15,81,-100,10,-69,18,0,-27,0,-35,100,55,-7,-13,31,63,65,0,33,1,-25,-100,-12,-43,-75,0,57,8,14,-7,0,22,0,0,-56,33,0,12,0,0,-90,100,63,69,7,69,16,37,71,100,18,187598,100,30,100,0,0
-23,71,-69,0,86,43,0,-57,0,-52,84,-8,65,16,-84,-42,1,0,-50,1,35,-46,7,-69,48,0,-12,7,0,-21,0,7,0,100,-20,7,0,8,0,0,7,-29,100,-100,8,71,-55,44,58,100,91,189472,56,79,96,0,74
-31,-63,-10,19,61,-100,0,-26,0,-14,-100,-88,100,95,100,-80,-51,0,-29,4,-46,-48,-62,-34,58,0,-49,12,5,-8,0,-25,0,-100,-15,5,0,10,0,0,15,-24,100,14,6,52,15,29,93,100,68,189857,73,24,88,69,83
-50,11,52,2,45,-100,0,-25,0,-58,-100,-46,-72,62,100,-21,64,0,-52,3,-14,-100,-25,11,-23,0,-16,3,0,77,0,-1,0,-67,52,-33,0,9,0,0,20,24,41,100,7,100,37,100,65,100,74,190143,100,79,74,0,63
-72,39,-34,10,15,-4,0,-19,0,81,-100,0,-58,-36,-22,-32,-57,0,81,8,-47,23,-15,0,-42,0,17,10,6,84,0,4,0,100,58,-61,0,4,0,0,-44,-13,-6,100,7,87,6,11,52,100,80,192634,63,42,75,0,78
-89,100,83,19,-85,-14,0,-86,0,6,-62,-52,21,70,-33,40,-35,0,54,1,-84,1,-52,-18,-67,0,-76,8,0,37,0,-50,0,52,81,35,0,10,0,0,-49,-100,-60,15,7,-100,23,4,93,100,44,193314,52,44,82,0,100
-100,12,6,2,-5,-100,0,-26,0,-1,-71,-100,-5,74,14,35,-100,0,0,1,31,87,-48,12,21,0,-7,3,2,72,0,-54,0,29,18,73,0,2,0,0,-100,-65,-22,78,7,99,-18,-5,78,100,91,193421,34,82,82,83,79
-93,-57,-100,2,13,54,0,43,0,-18,-100,-16,-58,28,35,-2,-2,0,12,1,9,-61,-55,20,30,0,-6,12,15,-100,0,37,0,-100,15,-38,0,10,0,0,0,-68,-4,0,7,5,37,30,58,100,5,198230,100,60,67,58,68
-34,17,-45,0,88,-47,0,0,0,-30,-100,-6,54,72,-100,-58,-66,0,31,1,-61,-12,-49,-36,-6,0,52,4,0,71,0,22,0,41,32,-36,0,3,0,0,-100,56,-65,97,6,-28,3,62,62,100,56,198451,100,80,79,0,79
