artificialkey,adsponserid,teamid,isapproved,dynamicimageid
1,1,111235,1,123
2,2,111235,1,507
3,3,111235,1,125
4,4,111235,1,895
5,5,111235,1,124
6,6,111235,1,126
7,7,111235,1,394
8,8,111235,1,896
9,16,111235,1,0
10,173,111235,1,0
11,5,31,1,558
12,1,31,1,228
13,3,31,1,158
14,5,31,1,156
15,5,31,1,559
16,9,31,1,663
17,9,31,1,860
18,6,31,1,861
19,16,31,1,0
20,173,31,1,0
21,1,171,1,20
22,1,171,1,698
23,1,171,1,519
24,1,171,1,294
25,1,171,1,20
26,1,171,1,521
27,1,171,1,519
28,1,171,1,292
29,188,171,1,0
30,173,171,1,0
31,8,1831,1,229
32,6,1831,1,1041
33,6,1831,1,862
34,6,1831,1,606
35,6,1831,1,666
36,8,1831,1,229
37,6,1831,1,602
38,6,1831,1,863
39,16,1831,1,0
40,173,1831,1,0
41,5,169,1,348
42,6,169,1,349
43,1,169,1,346
44,8,169,1,516
45,8,169,1,515
46,6,169,1,682
47,5,169,1,348
48,6,169,1,349
49,16,169,1,0
50,173,169,1,0
51,50,1,1,0
52,255,1,1,0
53,6,1,1,122
54,8,1,1,56
55,255,1,1,0
56,6,1,1,122
57,8,1,1,56
58,255,1,1,0
59,6,1,1,122
60,8,1,1,56
61,50,2,1,0
62,5,2,1,641
63,252,2,1,0
64,9,2,1,465
65,5,2,1,641
66,252,2,1,0
67,6,2,1,466
68,5,2,1,287
69,6,2,1,286
70,5,2,1,467
71,5,32,1,65
72,4,32,1,668
73,10,32,1,487
74,4,32,1,932
75,1,32,1,933
76,8,32,1,497
77,1,32,1,934
78,8,32,1,8
79,16,32,1,0
80,173,32,1,0
81,6,22,1,476
82,6,22,1,479
83,6,22,1,19
84,6,22,1,864
85,6,22,1,38
86,6,22,1,479
87,6,22,1,82
88,6,22,1,864
89,16,22,1,0
90,173,22,1,0
91,8,23,1,672
92,6,23,1,583
93,8,23,1,673
94,5,23,1,584
95,8,23,1,673
96,8,23,1,100
97,8,23,1,581
98,5,23,1,865
99,16,23,1,0
100,173,23,1,0
101,50,1808,1,0
102,119,1808,1,0
103,149,1808,1,0
104,5,1808,1,57
105,4,1808,1,40
106,5,1808,1,45
107,120,1808,1,0
108,149,1808,1,0
109,119,1808,1,0
110,5,1808,1,57
111,1,492,1,957
112,5,492,1,958
113,4,492,1,959
114,10,492,1,960
115,1,492,1,961
116,5,492,1,962
117,4,492,1,963
118,10,492,1,964
119,188,492,1,0
120,173,492,1,0
121,50,5,1,0
122,185,5,1,0
123,155,5,1,0
124,185,5,1,0
125,155,5,1,0
126,185,5,1,0
127,155,5,1,0
128,185,5,1,0
129,155,5,1,0
130,185,5,1,0
131,50,1799,1,0
132,5,1799,1,966
133,8,1799,1,553
134,8,1799,1,389
135,180,1799,1,0
