firstname,surname,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,socklengthcode,weight,gender,headassetid,faceposerpreset,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Dong-Kyoo,Choi,2,0,0,92,0,31,500,2,165,83,315,143941,4,68,0,27113,4,1,3,0,0,0,0,0,4,0,500,176705,167,0,30,0,9,0
Hans,de Noteboom,2,0,6,90,1,31,4001,1,185,4,315,143870,4,88,0,27072,4,0,3,0,0,0,0,0,3,0,500,179576,7,0,30,0,6,0
Benoît,Taillade,51,0,0,149,2,31,2007,1,191,16,315,142284,4,78,0,27109,0,1,3,0,0,0,0,0,3,0,500,181722,18,0,30,0,4,0
Gökberk,Topaloğlu,51,0,0,16,1,31,28,1,172,68,315,146185,4,61,0,27073,3,1,3,0,0,0,0,0,3,0,500,181902,48,0,30,0,1,0
Gustavo,Apollonio,51,0,6,29,0,31,2001,2,173,31,315,146855,4,72,0,27074,3,1,2,0,0,0,0,0,3,0,500,182165,27,0,30,0,2,0
Loïc,Dacquigny,51,9,0,155,1,31,4002,2,180,17,315,140357,4,74,0,27067,0,1,2,0,0,0,0,0,3,0,500,182553,18,0,30,0,2,3
Manuel Rui,Barbosa,2,0,0,97,1,31,1521,1,175,78,315,140357,4,65,0,27070,3,0,9,0,0,0,0,0,7,0,500,182561,54,0,30,0,1,0
Ingvar,Tollefsen,2,6,0,104,1,31,2507,1,186,41,315,141361,4,77,0,27099,0,1,5,0,0,0,0,0,2,0,500,182693,36,0,30,0,5,6
Mehmet,Yıldıraz,51,0,0,150,1,31,3,1,166,76,315,147532,4,73,0,27109,0,0,3,0,0,0,0,0,3,0,500,182737,48,0,30,0,9,0
Rainier,Vannier,2,0,6,16,1,31,4001,0,173,16,315,144545,4,63,0,27092,3,0,5,0,0,0,0,0,2,0,500,182753,18,0,30,0,1,0
Sung-Kwan,Cho,1,0,0,59,1,31,505,1,176,83,315,144075,4,69,0,27075,4,0,9,0,0,0,0,0,4,0,500,182754,167,0,30,0,2,0
Leonardo,San Milano,51,3,0,100,2,31,1,1,176,31,315,144471,4,65,0,27080,0,0,4,0,0,0,0,0,4,0,500,182777,27,0,30,0,1,0
Zachariasz,Krzywicki,2,1,0,75,1,31,2012,1,172,66,315,145720,4,75,0,27082,4,0,2,0,0,0,0,0,2,0,500,182780,37,0,30,0,3,1
Valente,Larrazábal,2,0,6,21,2,31,4003,1,178,53,315,140099,4,69,0,27080,0,0,4,0,0,0,0,0,4,0,500,182817,45,0,30,0,1,0
Pim,Ploegmakers,2,9,4,0,1,31,1517,2,166,10,315,145396,4,75,0,27099,0,0,5,0,0,0,0,0,2,0,500,183061,34,0,30,0,9,3
Pedro,Orteguilla,2,9,0,291,2,31,3507,1,172,53,315,146600,4,70,0,27092,3,0,5,0,0,0,0,0,2,0,500,183074,45,0,30,0,2,3
Lasse,Lagerroth,2,1,0,75,1,31,4000,1,178,56,315,146600,4,82,0,27082,4,0,2,0,0,0,0,0,2,0,500,183077,46,0,30,0,3,1
Hyun-Soon,Han,1,0,0,553,1,31,517,1,175,83,315,146600,4,66,0,27030,4,6,9,0,0,0,0,0,3,0,500,183079,167,0,30,0,3,0
Ireneusz,Iglikowski,2,6,6,65,1,31,2006,2,178,66,315,144215,4,65,0,27078,4,2,5,0,0,0,0,0,1,0,500,183083,37,0,30,0,1,3
Heimo,Wasserschneider,51,3,4,26,1,31,22,1,175,2076,315,144585,4,77,0,27110,0,0,7,0,0,0,0,0,2,0,500,183089,21,0,30,0,3,3
Vagiz,Volkov,2,0,0,22,1,31,2017,1,176,319,315,145487,4,64,0,27067,0,1,2,0,0,0,0,0,3,0,500,183098,40,0,30,0,2,0
Alexey,Borochovsky,2,3,0,107,1,31,4,1,178,319,315,143849,4,67,0,27078,4,1,5,0,0,0,0,0,1,0,500,183102,40,0,30,0,1,0
Özgür,Öztürkmek,1,0,6,101,2,31,2511,1,182,68,315,147144,4,73,0,27051,0,1,3,0,0,0,0,0,4,0,500,183787,48,0,30,0,2,0
Wesley,Vangorten,51,1,0,78,1,31,11,0,168,4,315,144727,4,60,0,27082,4,0,2,0,0,0,0,0,2,0,500,188439,7,0,30,0,7,1
