chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,jerseynamefonttype,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,captainarmband,teamtechid,isembargoed,hasadvertisingkit,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,jerseyrestriction
0,0,0,58,0,0,0,0,0,0,235,0,0,231,0,0,0,0,0,0,0,1,235,0,0,58,0,231,0,0,0,58,0,0,0,235,0,0,0,0,231,0,0,0,0,0,0,1,0,7708,77,15,0,0,0,0,0,0,75,0,1,0,0,0
0,0,0,58,0,0,0,0,0,0,235,0,0,231,0,0,0,0,0,0,0,1,235,0,0,58,0,231,0,0,0,58,0,0,0,235,0,0,0,0,231,0,0,1,-1,0,0,0,0,7709,77,15,0,0,0,0,0,0,75,0,0,0,0,0
0,1,30,228,0,0,220,220,220,220,18,220,234,231,12,45,0,12,13,220,0,1,152,220,13,229,220,231,220,0,220,229,0,220,220,22,0,220,220,12,231,220,0,0,-1,0,0,262,135,1344,61,35,0,13,1,0,0,0,88,0,262,0,0,0
0,1,227,28,0,0,25,12,12,220,252,12,224,30,220,41,0,220,13,12,0,1,190,12,13,26,220,30,25,0,12,29,7,12,12,5,0,25,12,220,30,220,0,1,-1,0,0,265,135,1345,63,29,0,13,1,0,0,0,95,0,262,0,0,0
0,1,220,31,0,0,220,220,220,220,31,12,220,29,12,220,0,12,13,220,0,1,31,220,13,31,220,29,220,0,12,31,7,12,220,31,0,220,220,12,29,220,0,2,-1,0,0,262,135,1346,97,97,0,13,1,0,0,0,99,0,262,0,0,0
0,1,220,73,0,0,220,220,220,220,65,12,220,62,12,220,0,12,13,220,0,1,44,220,13,65,220,35,220,0,12,44,7,12,220,73,0,220,220,12,43,220,0,3,-1,0,0,262,135,1347,98,98,0,13,1,0,0,0,99,0,262,0,0,0
0,1,12,237,0,0,220,220,220,25,12,220,12,230,12,12,1,12,13,220,0,1,100,220,13,197,25,230,220,0,220,156,7,220,220,37,0,220,220,12,230,25,0,0,-1,0,0,262,135,1348,62,36,0,13,2,0,1,0,88,0,265,0,0,1
0,1,12,228,0,0,25,12,12,25,226,220,12,226,220,12,1,220,13,12,0,1,224,12,13,226,25,139,25,0,220,224,19,220,12,228,0,25,12,220,182,25,0,1,-1,0,0,265,135,1349,98,98,0,13,2,0,1,0,97,0,265,0,0,1
0,1,220,30,0,0,220,220,220,220,30,12,220,29,12,220,1,12,13,220,0,1,30,220,13,30,220,29,220,0,12,30,7,12,220,30,0,220,220,12,29,220,0,2,-1,0,0,262,135,1765,99,99,0,13,2,0,1,0,98,0,262,0,0,1
0,1,220,113,0,0,220,220,220,220,162,12,220,202,12,220,1,12,13,220,0,1,129,220,13,62,220,150,220,0,12,28,19,12,220,196,0,220,220,12,176,220,0,3,-1,0,0,262,135,5745,65,28,0,13,2,0,1,0,98,1,262,0,0,1
