competitionid,artificialkey,adsponserid,isapproved,dynamicimageid
-1,1,0,0,0
-1,2,0,0,0
-1,3,0,0,0
-1,4,0,0,0
-1,5,0,0,0
-1,6,0,0,0
1,7,81,1,7
10,8,24,1,30
10,9,38,1,0
10,10,37,1,0
10,11,24,1,207
10,12,24,1,552
10,13,24,1,780
10,14,24,1,1021
10,15,49,1,0
10,16,39,1,0
10,17,15,1,0
10,18,40,1,0
13,19,50,1,0
13,20,38,1,0
13,21,37,1,0
13,22,49,1,0
13,23,39,1,0
13,24,15,1,0
13,25,40,1,0
13,26,36,1,0
13,27,50,1,0
13,28,68,1,0
13,29,161,1,0
14,30,4,1,88
14,31,4,1,89
14,32,38,1,0
14,33,37,1,0
14,34,49,1,0
14,35,39,1,0
14,36,15,1,0
14,37,40,1,0
14,38,36,1,0
14,39,68,1,0
-1,40,24,1,433
16,41,24,1,433
16,42,38,1,0
16,43,37,1,0
16,44,49,1,0
16,45,4,1,438
16,46,6,1,770
16,47,8,1,436
16,48,5,1,987
16,49,5,1,656
16,50,39,1,0
16,51,81,1,63
-1,52,0,1,0
-1,53,24,1,441
17,54,24,1,441
17,55,38,1,0
17,56,37,1,0
17,57,49,1,0
17,58,5,1,440
17,59,5,1,784
17,60,5,1,656
17,61,6,1,987
17,62,4,1,439
17,63,39,1,0
17,64,81,1,64
-1,65,0,1,0
19,66,16,1,0
19,67,173,1,0
19,68,38,1,0
19,69,16,1,0
19,70,173,1,0
19,71,38,1,0
19,72,16,1,0
19,73,173,1,0
19,74,38,1,0
19,75,16,1,0
19,76,173,1,0
20,77,188,1,0
20,78,173,1,0
20,79,38,1,0
20,80,188,1,0
20,81,173,1,0
20,82,38,1,0
20,83,188,1,0
20,84,173,1,0
20,85,38,1,0
20,86,188,1,0
20,87,173,1,0
21,88,6,1,160
21,89,173,1,0
21,90,38,1,0
21,91,6,1,160
21,92,173,1,0
21,93,38,1,0
21,94,6,1,160
21,95,173,1,0
21,96,38,1,0
21,97,6,1,160
21,98,173,1,0
21,99,81,1,211
31,100,5,1,972
31,101,38,1,0
31,102,37,1,0
31,103,9,1,739
31,104,5,1,740
31,105,5,1,741
31,106,6,1,973
31,107,38,1,0
31,108,37,1,0
-1,109,49,1,0
-1,110,0,1,0
32,111,38,1,0
32,112,37,1,0
32,113,49,1,0
32,114,39,1,0
32,115,15,1,0
32,116,40,1,0
32,117,36,1,0
32,118,68,1,0
32,119,29,1,0
39,120,54,1,0
39,121,38,1,0
39,122,37,1,0
39,123,49,1,0
39,124,8,1,229
39,125,6,1,425
39,126,39,1,0
39,127,15,1,0
39,128,40,1,0
39,129,36,1,0
53,130,24,1,67
53,131,38,1,0
53,132,37,1,0
53,133,49,1,0
53,134,8,1,1040
53,135,24,1,635
53,136,4,1,198
53,137,6,1,1029
53,138,8,1,100
53,139,39,1,0
53,140,81,1,1025
-1,141,0,1,0
54,142,24,1,72
54,143,38,1,0
54,144,37,1,0
54,145,49,1,0
54,146,8,1,1040
54,147,24,1,635
54,148,4,1,198
54,149,6,1,1029
54,150,8,1,100
54,151,39,1,0
54,152,81,1,1026
-1,153,0,1,0
56,154,38,1,0
56,155,37,1,0
56,156,49,1,0
56,157,39,1,0
56,158,15,1,0
56,159,40,1,0
56,160,36,1,0
56,161,68,1,0
56,162,29,1,0
56,163,81,1,823
60,164,4,1,88
60,165,4,1,89
60,166,38,1,0
60,167,37,1,0
60,168,49,1,0
60,169,39,1,0
60,170,15,1,0
60,171,40,1,0
60,172,36,1,0
60,173,68,1,0
61,174,4,1,88
61,175,4,1,89
61,176,38,1,0
61,177,37,1,0
61,178,49,1,0
61,179,39,1,0
61,180,15,1,0
61,181,40,1,0
61,182,36,1,0
61,183,68,1,0
66,184,81,1,13
189,185,81,1,1
201,186,8,1,336
201,187,38,1,0
201,188,37,1,0
201,189,5,1,337
201,190,38,1,0
201,191,49,1,0
201,192,8,1,336
201,193,39,1,0
201,194,5,1,337
201,195,15,1,0
206,196,81,1,71
206,197,4,1,820
206,198,5,1,821
206,199,38,1,0
206,200,37,1,0
206,201,209,1,0
206,202,5,1,821
206,203,6,1,822
206,204,8,1,529
206,205,39,1,0
206,206,29,1,0
-1,207,0,1,0
207,208,6,1,42
207,209,173,1,0
207,210,38,1,0
207,211,6,1,42
207,212,173,1,0
207,213,38,1,0
207,214,6,1,42
207,215,173,1,0
207,216,38,1,0
207,217,81,1,41
217,218,81,1,34
223,219,97,1,0
223,220,181,1,0
223,221,111,1,0
223,222,92,1,0
223,223,274,1,0
223,224,76,1,0
223,225,72,1,0
223,226,211,1,0
223,227,244,1,0
223,228,81,1,15
224,229,100,1,0
224,230,209,1,0
224,231,73,1,0
224,232,181,1,0
224,233,97,1,0
224,234,100,1,0
224,235,209,1,0
224,236,73,1,0
224,237,181,1,0
224,238,274,1,0
224,239,81,1,16
226,240,182,1,0
226,241,209,1,0
226,242,73,1,0
226,243,181,1,0
226,244,97,1,0
226,245,182,1,0
226,246,209,1,0
226,247,73,1,0
226,248,181,1,0
226,249,274,1,0
226,250,81,1,569
232,251,97,1,0
232,252,181,1,0
232,253,111,1,0
232,254,92,1,0
232,255,274,1,0
232,256,76,1,0
232,257,72,1,0
232,258,211,1,0
232,259,244,1,0
232,260,81,1,17
-1,261,24,1,453
233,262,24,1,453
233,263,38,1,0
233,264,37,1,0
233,265,49,1,0
233,266,4,1,438
233,267,6,1,770
233,268,6,1,656
233,269,5,1,440
233,270,5,1,987
233,271,39,1,0
233,272,81,1,47
308,273,24,1,55
308,274,38,1,0
308,275,37,1,0
308,276,49,1,0
308,277,39,1,0
308,278,15,1,0
308,279,40,1,0
308,280,36,1,0
308,281,68,1,0
