overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,82,80,81,2,81,81
1,79,80,79,77,78,79,5,77,79
1,75,77,76,79,76,77,7,79,76
-1,80,81,82,78,81,80,11,78,80
-1,75,76,77,75,77,76,14,74,77
1,79,82,81,81,81,81,18,83,81
-1,77,77,78,79,79,76,19,79,78
-2,83,82,84,90,84,81,21,88,83
-1,76,75,76,75,76,75,23,74,75
1,82,83,82,81,82,83,44,82,84
-1,81,80,81,82,78,79,47,82,78
-1,78,76,77,77,75,78,64,76,74
-1,73,75,76,78,77,71,74,76,76
-1,76,76,77,77,77,75,110,78,77
1,75,78,77,75,77,76,144,77,79
-1,75,76,77,76,78,75,175,76,76
-1,78,78,79,79,80,78,234,78,78
-1,78,77,78,78,78,77,237,77,79
1,74,76,75,76,70,74,245,77,71
1,78,77,76,75,76,78,246,76,76
1,78,79,78,81,78,79,325,82,78
-1,72,74,75,74,74,69,327,72,74
1,75,77,76,79,76,77,450,78,76
2,78,81,79,80,81,79,457,81,83
-1,76,74,75,75,74,74,461,75,73
1,74,78,77,80,78,74,605,80,79
2,76,78,76,75,76,77,1824,78,78
1,77,77,76,76,75,77,1831,77,76
-1,74,74,75,75,74,72,1861,76,75
1,72,77,76,77,77,72,1896,78,77
1,74,76,75,75,76,75,1943,78,77
1,75,77,76,77,76,75,10029,78,77
1,78,78,77,76,78,78,110062,79,78
1,74,77,76,86,77,75,112139,88,78
-1,79,79,80,81,80,79,115841,80,79
1,77,79,78,79,78,77,115845,81,78
1,82,83,82,82,83,84,115995,83,84
-1,76,76,77,76,77,74,115999,76,76
1,77,78,77,76,75,78,116002,76,76
-1,83,82,83,87,82,82,116010,86,81
-2,78,75,77,77,74,76,116011,74,73
1,77,81,80,81,81,79,116012,81,81
-1,76,76,77,80,78,74,116015,79,78
1,84,86,85,86,83,85,116033,87,85
1,79,82,81,83,80,80,116034,83,82
-1,77,76,77,73,78,76,116037,73,78
-1,78,78,79,79,78,77,116326,78,77
-1,78,78,79,82,79,77,116333,81,77
-1,75,75,76,76,77,74,116334,76,76
-1,79,80,81,82,82,79,116365,81,81
