playerid35,playerid0,playerid9,customsub0in,playerid36,rightfreekicktakerid,playerid44,playerid27,playerid1,playerid38,playerid31,playerid7,playerid20,playerid39,playerid42,playerid48,playerid13,playerid6,customsub0out,playerid37,playerid5,playerid45,playerid8,playerid14,playerid46,longkicktakerid,playerid12,playerid2,rightcornerkicktakerid,playerid30,customsub1in,playerid15,playerid41,playerid47,playerid23,playerid16,customsub1out,leftcornerkicktakerid,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,playerid22,playerid24,playerid11,customsub2in,playerid3,captainid,playerid51,leftfreekicktakerid,playerid25,playerid33,playerid19,playerid17,playerid26,playerid50,playerid34,penaltytakerid,playerid32,freekicktakerid,playerid28,playerid21,playerid10,playerid43,playerid29
-1,220901,230666,-1,-1,222665,-1,271808,231936,-1,278779,235790,232938,-1,-1,-1,236988,222665,-1,-1,234378,-1,246669,231448,-1,222665,240273,243715,246669,278773,-1,205498,-1,-1,201118,265693,-1,251566,213051,227813,-1,-1,-1,1,251805,248732,207421,-1,232580,222665,-1,251566,271743,-1,256958,233934,274387,-1,-1,246669,279124,222665,273925,209989,251566,-1,253452
-1,202811,241852,-1,-1,200458,-1,267849,227174,-1,275266,229906,207948,-1,-1,-1,238067,236499,-1,-1,236987,-1,210881,246923,-1,236499,216393,227678,200458,274348,-1,219693,-1,-1,266609,217036,-1,236499,212501,200458,-1,-1,-1,2,212419,205989,247172,-1,241464,210881,-1,236499,268550,-1,220440,207557,278017,-1,-1,236499,210635,236499,268583,226162,221697,-1,279634
-1,243158,220139,-1,-1,220139,-1,277556,232185,-1,-1,264120,242749,-1,-1,-1,246349,259240,-1,-1,212099,-1,238196,256358,-1,220139,234177,242751,235770,-1,-1,221281,-1,-1,264746,238336,-1,220139,273771,235770,-1,-1,-1,3,240595,256556,213905,-1,231540,220139,-1,220139,256366,-1,257400,251522,274959,-1,-1,220139,-1,220139,248534,278920,257063,-1,218343
-1,234803,220039,-1,-1,231951,-1,-1,229073,-1,-1,255913,212992,-1,-1,-1,235807,212366,-1,-1,231951,-1,243849,244559,-1,231951,221705,224447,231951,-1,-1,263906,-1,-1,236321,246002,-1,231951,254522,239540,-1,-1,-1,4,252895,240912,165191,-1,212090,212090,-1,212366,-1,-1,248718,219795,-1,-1,-1,220039,-1,231951,-1,278712,225867,-1,-1
-1,269626,247090,-1,-1,247090,-1,228789,238074,-1,257239,257534,230918,-1,-1,-1,257084,256079,-1,-1,238216,-1,202652,239231,-1,247090,254796,229942,247090,274066,-1,242578,-1,-1,263620,259307,-1,247090,256268,262859,-1,-1,-1,5,229984,232411,246340,-1,164240,238074,-1,238074,248695,-1,248465,204246,259356,-1,-1,257534,278286,247090,277904,277795,259197,-1,264115
-1,204935,208135,-1,-1,243282,-1,247764,257896,-1,-1,257057,211575,-1,-1,-1,270866,193474,-1,-1,232080,-1,243282,243657,-1,243282,236276,202695,243282,-1,-1,207599,-1,-1,263168,152908,-1,243282,225793,244380,-1,-1,-1,7,211117,277434,251892,-1,247649,202695,-1,243282,118794,-1,264039,237704,246950,-1,-1,221479,-1,243282,279625,180216,221479,-1,270373
-1,242656,247249,-1,-1,251954,-1,263734,270208,-1,-1,232104,246053,-1,-1,-1,258906,213654,-1,-1,235735,-1,251954,248384,-1,251954,243669,229266,251954,-1,-1,189456,-1,-1,206534,245715,-1,251954,186156,208892,-1,-1,-1,8,253969,241184,270206,-1,239360,239360,-1,251954,237935,-1,254121,193331,270209,-1,-1,247249,-1,251954,266074,243390,245637,-1,203570
-1,212831,253072,-1,-1,231281,-1,271976,231281,-1,278292,242434,189509,-1,-1,-1,246104,236772,-1,-1,239837,-1,209331,246174,-1,231281,242516,237678,231281,247601,-1,225100,-1,-1,273651,232223,-1,236772,232487,216267,-1,-1,-1,9,271975,194911,224458,-1,203376,203376,-1,231281,259430,-1,266815,240913,278894,-1,-1,209331,260406,231281,264298,197061,241084,-1,271974
-1,210257,239085,-1,-1,246191,-1,277427,188377,-1,-1,246191,241811,-1,-1,-1,224081,218667,-1,-1,231866,-1,237692,203574,-1,246191,207410,229237,246191,-1,-1,208920,-1,-1,157804,271574,-1,246191,253124,251517,-1,-1,-1,10,192985,279624,206517,-1,239818,188377,-1,246191,261621,-1,277295,200159,263955,-1,-1,239085,-1,246191,276621,234777,246420,-1,258560
-1,226753,259399,-1,-1,212198,-1,254088,234574,-1,268443,212198,258171,-1,-1,-1,190460,237238,-1,-1,224158,-1,255475,269136,-1,212198,211300,203263,212198,260910,-1,229880,-1,-1,233049,245279,-1,212198,169588,205988,-1,-1,-1,11,268414,233064,231677,-1,221660,212198,-1,212198,200145,-1,201535,243647,239301,-1,-1,212198,268445,212198,238041,253283,268438,-1,163264
