homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
8,5,18,1,16,9,0,0,0,0,0,0,1,1,0,0,0,6,0,18,269,0,5,10,37,0,2,0,0,0,1,3,1,0
11,9,15,6,11,11,0,0,0,0,0,0,1,1,0,0,0,5,1,18,270,8,3,3,27,0,3,0,2,0,4,1,2,0
10,3,10,5,11,7,0,0,0,0,0,0,1,1,0,0,0,4,2,18,271,8,3,8,29,0,2,0,1,0,1,6,2,0
17,8,8,7,15,9,0,0,0,0,0,0,1,1,0,0,0,0,3,18,272,3,5,3,20,0,6,0,0,0,2,2,3,0
9,1,16,2,21,12,0,0,0,0,0,1,1,1,0,0,0,5,4,18,819,10,6,0,36,0,3,0,0,0,1,2,1,0
10,11,9,11,7,11,0,0,0,0,0,0,1,1,0,0,0,2,5,18,822,4,1,5,15,0,4,0,1,0,5,3,3,0
12,4,13,10,5,19,0,0,0,0,0,0,1,1,0,0,0,4,6,18,1443,5,1,3,19,0,2,0,2,0,7,1,3,0
7,7,17,3,17,14,0,0,0,0,0,0,1,1,0,0,0,6,7,18,1516,10,5,0,36,0,1,0,2,0,3,1,2,0
15,6,9,9,12,17,0,0,0,0,0,0,1,1,0,0,0,2,8,18,1786,5,2,3,19,0,3,0,0,0,4,3,4,0
7,2,16,4,13,9,0,0,0,0,0,0,1,1,0,0,0,5,9,18,1788,10,3,10,30,0,1,0,0,0,3,3,3,0
23,12,5,12,5,15,0,0,0,0,0,0,1,1,0,0,0,0,10,18,2002,4,1,5,7,0,8,0,2,0,5,3,1,0
12,10,15,8,8,18,0,0,0,0,0,0,1,1,0,0,0,3,11,18,15001,3,2,5,20,0,2,0,2,0,6,1,4,0
12,11,29,2,23,16,0,0,0,0,0,0,4,4,0,0,0,10,12,26,229,10,5,10,54,0,0,1,0,0,2,6,3,0
9,3,30,4,18,15,0,0,0,0,0,1,4,4,0,0,0,8,13,26,230,10,4,0,44,0,1,0,2,0,5,4,4,0
11,4,31,3,23,13,0,0,0,0,0,0,4,4,0,0,0,7,14,26,231,10,5,0,45,0,0,1,1,0,5,3,6,0
10,6,10,11,14,26,0,0,0,0,0,0,4,4,0,0,0,4,15,26,232,3,2,10,28,0,4,0,2,0,6,5,5,0
22,9,20,13,5,20,0,0,0,0,0,0,4,4,0,0,0,6,16,26,670,5,0,10,25,0,4,0,1,0,9,4,3,0
14,1,27,7,21,13,0,0,0,0,0,0,4,4,0,0,0,5,17,26,673,8,5,0,40,0,2,0,0,0,4,4,6,0
16,5,27,5,16,15,0,0,0,0,0,0,4,4,0,0,0,6,18,26,674,10,5,8,42,0,2,0,0,0,4,4,5,0
13,12,15,9,17,28,0,0,0,0,0,0,4,4,0,0,0,6,19,26,680,8,2,8,34,0,3,0,2,0,5,6,4,0
25,7,20,10,20,23,0,0,0,0,0,0,4,4,0,0,0,5,20,26,681,3,2,3,29,0,7,0,0,0,4,7,1,0
15,8,21,6,15,16,0,0,0,0,0,0,4,4,0,0,0,7,21,26,1750,10,5,10,40,0,4,0,1,0,6,2,2,0
26,15,14,15,9,25,0,0,0,0,0,0,4,4,0,0,0,3,22,26,2013,4,3,4,21,0,8,0,2,0,9,1,2,0
14,2,31,1,26,14,0,0,0,0,0,0,4,4,0,0,0,10,23,26,2014,0,9,10,62,0,1,0,0,0,1,3,2,0
24,16,14,14,14,32,0,0,0,0,0,0,4,4,0,0,0,3,24,26,8001,5,2,4,22,0,5,0,2,0,9,2,5,0
21,14,10,16,8,30,0,0,0,0,0,0,4,4,0,0,0,3,25,26,100081,4,1,4,18,0,7,0,2,0,9,3,3,0
13,10,18,12,13,28,0,0,0,0,0,0,4,4,0,0,0,4,26,26,100087,3,2,3,25,0,5,0,1,0,8,3,4,0
11,13,16,8,14,19,0,0,0,0,0,0,4,4,0,0,0,5,27,26,110724,3,5,4,36,0,4,0,0,0,6,2,4,0
15,3,27,5,24,26,0,0,0,0,0,0,10,10,0,0,0,6,28,22,245,8,4,0,36,0,2,0,1,0,4,3,3,0
8,1,29,2,27,9,0,0,0,0,0,1,10,10,0,0,0,8,29,22,246,10,8,0,52,0,1,0,0,0,1,1,3,0
