assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,defensivestyle,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,chancecreation,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,playersinboxfk,stanchionflamethrower,stadiumgoalnetpattern,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,offensivewidth,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
1,26,218,2079200,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,3,0,222665,0,8,-1,70,0,2,0,3,0,9,0,0,60704,0,0,285,50,18,0,1,85,1,83,86,83,2,0,0,82,0,-1,82,0,0,0,222665,66690,2,246669,0,0,14,4,234378,7,1,0,123010,0,2,0,0,222665,1,1,5,0,222665,13,0,3,0,83,68,60,3,0,246669,0,222665,2,7,0,366,0,-1,135298,83
2,0,102,695520,229,184,148,1874,139,124,51,51,2,52,47,2,226,102,190,0,Aston Villa,78,0,-1,2,0,236499,1,6,-1,80,0,2,0,4,0,7,0,0,42657,0,2,54,50,109,0,2,79,1,79,77,83,2,-1,0,76,0,-1,78,0,0,0,236499,132240,2,236499,1,0,7,3,236499,5,2,0,155792,0,2,0,0,210881,1,1,4,0,236499,7,0,3,0,81,68,50,3,0,236499,0,236499,2,5,0,366,0,-1,266384,80
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,3,0,220139,0,7,-1,60,0,2,1,4,0,4,0,0,31154,0,2,55,50,1796,0,2,70,1,70,70,69,2,-2,1,69,0,-1,69,2,0,0,220139,73744,2,220139,0,0,6,2,220139,5,3,0,102416,0,2,0,0,221281,2,0,2,0,220139,3,0,3,0,70,55,60,3,0,220139,0,220139,2,1,0,316,0,-1,133136,69
4,255,255,6000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,3,0,212366,0,10,-1,70,0,2,0,4,0,4,0,0,28723,0,2,61,50,1917,0,2,65,1,67,65,67,2,-2,0,67,0,-1,67,2,0,0,212366,66688,0,212366,0,0,4,2,212366,7,4,0,66688,0,2,0,0,212090,0,1,4,0,212366,0,0,3,0,67,55,70,2,0,225509,0,212366,2,1,0,316,0,-1,139392,67
5,20,0,2852000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,2,0,257534,1,8,-1,60,0,2,0,3,0,9,0,0,40343,0,2,285,60,1,0,1,79,1,80,79,81,2,0,0,80,1,-1,80,1,0,0,257534,132361,3,257534,2,0,8,2,257534,4,5,2,165129,0,2,0,0,238216,0,0,3,0,238216,6,0,3,0,80,68,70,3,0,257534,0,257534,2,7,0,366,0,-1,270601,81
7,54,0,684480,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,1,0,243282,0,3,-1,40,0,2,2,4,0,7,0,0,39414,0,0,282,50,9,0,2,76,1,76,76,77,2,-2,2,75,0,-1,76,0,0,0,243282,263240,2,243282,0,0,5,1,243282,5,7,0,4218952,0,2,0,0,180216,1,1,3,0,243282,9,0,3,0,76,68,60,8,0,221479,0,243282,2,4,0,366,0,-1,528456,77
8,255,255,423096,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,3,0,251954,0,10,-1,70,0,1,0,5,0,7,0,0,37890,0,2,269,50,1939,0,1,74,1,74,74,73,2,-1,0,73,0,-1,73,2,0,0,251954,66689,2,251954,0,0,1,3,251954,4,8,0,83073,0,2,0,0,235735,0,0,4,0,251954,3,0,3,0,74,55,60,6,0,247249,0,251954,2,2,0,366,0,-1,139393,73
9,27,227,4598000,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,3,0,231281,0,9,-1,70,0,1,0,3,0,9,0,0,53394,0,1,282,60,11,0,1,80,1,84,81,84,2,-2,0,84,0,-1,83,1,0,0,231281,66176,3,231281,6,0,8,3,231281,3,9,3,115840,0,2,0,0,203376,1,1,4,0,231281,19,0,3,0,83,68,70,4,0,209331,0,231281,2,9,0,366,0,-1,139392,84
10,173,108,4593500,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,3,0,192985,0,10,-1,60,0,2,0,4,0,9,1,0,53400,0,1,300,70,11,0,2,87,1,85,88,86,2,-2,0,84,1,-1,84,1,0,0,192985,66176,3,192985,1,0,7,3,192985,3,10,0,99456,0,2,0,0,192985,0,1,5,0,192985,9,0,3,0,85,68,80,1,0,239085,0,192985,2,10,0,366,0,-1,139392,86
11,1,199,4798500,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,2,0,212198,0,9,-1,70,0,2,0,5,0,10,0,0,74310,0,0,300,70,9,0,0,78,1,81,78,78,2,-2,0,83,1,-1,82,0,0,0,212198,132244,0,212198,3,0,12,3,212198,9,11,1,132244,0,2,0,0,212198,1,0,3,0,212198,20,0,3,0,81,68,70,2,0,212198,0,212198,2,8,0,366,0,-1,270484,78
