firstname,commonname,surname,skintypecode,haircolorcode,facialhairtypecode,managerid,hairtypecode,headtypecode,height,seasonaloutfitid,weight,hashighqualityhead,gender,headassetid,ethnicity,faceposerpreset,teamid,eyebrowcode,eyecolorcode,personalityid,headclasscode,nationality,sideburnscode,headvariation,skintonecode,outfitid,hairstylecode,bodytypecode,managerjointeamdate,facialhaircolorcode
Mikel,Mikel Arteta,Arteta Amatriain,2,0,4,254782,160,2521,175,5557,75,0,0,45119,4,3,1,1,5,1,0,45,0,0,3,5566,0,81,159678,0
Unai,Unai Emery,Emery Etxegoien,51,0,0,237389,30,2020,181,5541,75,1,0,237389,3,0,2,0,4,1,0,45,0,0,4,5574,0,81,160725,0
,,,51,5,6,53686,655,2021,183,5551,84,0,0,26541,2,3,3,2,6,0,0,14,0,0,2,5566,0,82,161190,3
,,,2,6,8,257088,114,3500,191,5511,75,0,0,26541,2,3,4,2,6,1,0,14,0,0,2,5578,0,85,159872,3
Mauricio,,Pochettino,51,3,6,8885,174,2512,182,5511,81,1,0,8885,2,3,5,1,4,0,0,52,0,0,1,5510,0,82,160967,22
Sean,,Dyche,51,27,3,51404,43,3500,183,5538,86,1,0,51404,1,0,7,0,6,1,0,14,0,0,3,5517,0,82,160815,17
,,,51,5,4,249179,35,1546,182,5509,75,0,0,26541,3,3,8,0,6,0,0,21,0,0,3,5713,0,82,160970,23
Jürgen,,Klopp,51,8,8,232302,310,3516,193,5509,70,1,0,232302,3,0,9,0,1,1,0,21,0,0,4,5707,0,86,158144,8
Josep,Pep Guardiola,Guardiola i Sala,51,6,8,169894,0,1502,180,5509,73,1,0,243712,3,4,10,0,4,1,0,45,0,1,4,5718,0,81,158411,9
Erik,,ten Hag,51,9,4,249329,0,4008,182,5509,75,1,0,249329,3,0,11,2,5,0,0,34,0,0,5,5507,0,81,160977,3
,,,2,3,4,265587,129,4008,188,5557,75,0,0,26541,2,3,12,6,6,0,0,14,0,0,2,5569,0,84,160717,3
Eddie,,Howe,51,1,6,232297,118,2021,178,5511,75,1,0,232297,2,0,13,2,2,0,0,14,0,0,3,5510,0,81,160367,1
Nuno Herlander,Nuno Espírito Santo,Espírito Santo,51,23,18,250187,26,507,188,5511,75,0,0,250187,6,0,14,0,9,1,1,38,0,0,6,5722,0,85,161139,8
,,,2,9,4,250029,633,1541,178,5560,75,0,0,26543,3,0,15,0,7,1,0,45,0,0,3,5507,0,82,161088,0
,,,2,3,28,254124,42,2517,185,5557,75,0,0,26543,1,0,17,0,7,0,0,42,0,0,1,5713,0,85,160957,3
Ange,,Postecoglou,51,8,45,220812,655,2007,184,5511,75,1,0,220812,4,0,18,0,5,0,0,195,0,0,1,5578,0,83,160967,8
David,,Moyes,51,24,0,235732,648,3516,185,5511,79,1,0,235732,1,0,19,2,8,0,0,42,0,0,3,5506,0,85,159687,4
,,,2,5,15,250585,310,2000,192,5551,75,0,0,26540,2,3,21,1,1,1,0,21,0,0,2,5506,0,84,160868,9
Edin,,Terzić,2,19,6,260049,162,57,184,5511,75,0,0,260049,2,0,22,2,6,0,1,21,0,0,2,5566,0,82,160602,5
,,,51,3,6,138420,35,2512,186,5507,83,0,0,26541,3,3,23,0,6,0,0,47,0,0,3,5507,0,85,160237,6
,,,51,24,0,249127,655,3516,181,5557,75,0,0,26542,2,0,25,0,3,1,0,21,0,0,2,5551,0,81,156765,1
,,,2,6,0,251583,285,2510,180,5509,75,0,0,26544,3,0,27,0,9,0,0,8,0,0,3,5565,0,82,159506,5
,,,51,6,8,650,181,30,178,5566,77,0,0,26538,2,0,28,0,2,1,0,21,0,0,2,5522,0,83,161201,23
,,,51,8,50,249438,150,3507,181,5511,75,0,0,26537,4,0,29,0,1,0,0,21,0,0,4,5506,0,82,161195,23
,,,2,1,6,257258,189,52,180,5521,75,0,0,26541,1,3,31,6,6,0,0,21,0,0,1,5506,0,82,161154,1
,,,2,3,4,262757,149,3516,183,5529,75,0,0,26541,2,3,32,0,6,0,0,45,0,0,2,5522,0,82,160698,7
Argirios,,Giannikis,1,0,6,249019,24,4004,182,5509,75,0,0,249019,2,0,33,0,9,1,1,22,0,0,2,5506,0,82,161160,0
,,,2,15,0,269595,117,38,186,5509,75,0,0,26539,1,0,34,6,1,0,0,7,0,0,1,5717,0,85,160602,1
,,,2,5,4,251527,310,34,178,5557,75,0,0,26540,2,3,36,6,1,0,0,21,0,0,2,5728,0,82,160878,20
,,,0,6,6,253394,310,3510,189,5511,75,0,0,26544,2,0,38,0,9,0,0,21,0,0,2,5510,0,85,160387,6
Simone,,Inzaghi,2,0,0,7728,59,3516,183,5548,82,0,0,7728,2,0,44,0,3,1,1,27,0,0,2,5580,0,81,160209,0
Paolo,,Montero,51,3,6,5394,0,1500,179,5557,74,0,0,5394,3,0,45,1,3,1,1,60,0,0,3,5580,0,82,161290,23
Stefano,,Pioli,51,24,4,250527,0,2014,183,5511,75,0,0,250527,1,0,47,6,9,1,1,27,0,0,1,5566,0,82,159606,24
Fabio,,Pecchia,2,9,45,1145,17,1519,172,5529,68,0,0,1145,2,0,50,0,3,1,1,27,0,0,2,5578,0,88,160573,9
Ivan,,Jurić,51,9,6,155191,84,2006,175,5510,67,0,0,155191,1,0,54,1,5,1,1,10,0,0,1,5713,0,83,160237,23
Fabio,,Cannavaro,2,3,0,271962,43,1501,176,5510,75,1,0,1183,4,3,55,1,8,0,0,27,0,0,3,5567,0,2,161263,0
,,,51,9,0,249132,105,3513,176,5509,75,0,0,26540,2,3,57,0,1,0,0,18,0,0,2,5523,0,82,160719,0
,,,51,24,6,70542,0,1517,186,5511,75,0,0,26538,2,0,58,2,2,0,0,18,0,0,2,5520,0,84,161179,8
,,,2,3,4,278852,638,1514,187,5511,75,0,0,26541,2,3,59,1,6,0,0,45,0,0,2,5520,0,85,161070,5
,,,51,6,6,262532,682,4004,183,5557,75,0,0,26539,1,0,62,2,1,0,0,18,0,0,1,5566,0,81,160237,3
,,,51,9,4,116880,150,2508,179,5509,76,0,0,26543,2,0,64,2,7,0,0,18,0,0,2,5569,0,82,159745,8
,,,2,21,4,250262,156,2522,188,5509,75,0,0,26543,2,0,65,0,7,0,0,38,0,0,2,5707,0,84,160602,21
,,,2,21,45,279795,148,57,178,5527,75,0,0,26543,2,0,66,1,7,0,0,18,0,0,2,5520,0,82,161119,0
,,,51,24,0,249887,632,30,178,5511,75,0,0,26542,2,0,68,0,3,1,0,39,0,0,2,5717,0,82,160587,22
,,,51,8,4,248898,150,2504,184,5509,75,0,0,26544,2,0,69,0,9,0,0,4,0,0,2,5566,0,82,160970,8
,,,51,9,6,250092,297,3516,180,5529,75,0,0,26538,1,0,70,1,2,1,0,3,0,0,1,5525,0,82,160824,8
,,,51,24,0,249003,29,1007,185,5511,75,0,0,26545,8,2,71,0,9,1,0,18,0,0,8,5514,0,85,161229,0
,,,2,0,4,263710,88,3514,174,5707,75,0,0,26543,3,0,72,6,7,1,0,27,0,0,3,5566,0,87,160967,0
Luis Enrique,Luis Enrique,Martínez García,1,24,4,249948,293,2500,180,5509,75,1,0,249948,3,4,73,0,6,1,0,45,0,0,3,5523,0,82,160971,9
,,,2,3,0,249814,642,2030,183,5555,75,0,0,26541,1,3,74,0,6,0,0,18,0,0,1,5504,0,81,161108,0
,,,51,0,6,262194,43,1000,192,5555,75,0,0,26545,9,2,76,0,9,0,0,18,0,0,9,5508,0,85,160968,0
Neil,,Warnock,51,24,0,245236,244,33,175,5511,81,0,0,245236,2,0,77,6,6,1,1,14,0,0,2,5510,0,82,161186,8
Brendan,,Rodgers,51,5,0,249063,150,2515,170,5535,75,1,0,249063,2,3,78,1,7,0,0,35,0,0,3,5514,0,88,160955,5
Steven,,Naismith,2,4,6,275112,0,1550,178,5509,75,0,0,275112,1,0,80,2,2,1,1,42,0,0,1,5707,0,82,160886,1
,,,0,0,0,63005,16,1,180,5500,75,0,0,26537,2,0,81,0,1,1,0,14,0,0,2,5500,0,86,158960,0
Derek,,McInnes,51,23,8,51495,65,1526,170,5509,65,0,0,51495,3,0,82,0,3,0,1,42,0,0,3,5551,0,88,160424,9
Stuart,,Kettlewell,2,23,8,208673,123,4014,183,5506,70,0,0,208673,2,0,83,0,3,0,1,42,0,0,2,5506,0,82,160838,23
Philippe,,Clement,51,24,45,8834,0,1517,191,5538,87,0,0,8834,1,0,86,0,1,0,1,7,0,0,1,5573,0,85,161073,8
,,,51,24,0,250608,114,30,185,5555,75,0,0,26542,1,0,88,6,3,0,0,14,0,0,1,5718,0,85,161158,6
,,,2,3,4,53853,75,3500,170,5509,69,0,0,26541,2,3,89,2,6,1,0,50,0,0,2,5510,0,88,161185,9
,,,51,23,8,53904,0,43,175,5511,74,0,0,26544,2,0,91,1,9,1,0,14,0,0,2,5510,0,81,160685,23
,,,51,5,4,100707,114,15,191,5509,82,0,0,26541,2,3,92,0,6,0,0,205,0,0,2,5504,0,85,161116,3
,,,0,8,6,266184,160,2017,185,5511,71,0,0,26541,1,3,94,0,6,0,0,35,0,0,1,5551,0,85,160405,5
