competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
39,12,4,687,39,0,25,27,178,161402,161570,70200,111144,0,39
39,18,9,101112,39,0,25,27,248,161401,161738,0,695,0,39
39,25,28,691,39,0,25,27,196,161401,161739,70200,113018,0,39
39,24,8,689,39,0,27,27,430,161401,161740,70200,696,0,39
39,22,26,693,39,0,27,27,181,161401,161741,70200,688,0,39
39,29,9,101112,39,0,25,27,248,161408,161742,0,111928,0,39
39,27,20,112885,39,0,27,27,402,161408,161743,70200,114162,0,39
39,4,3,113149,39,0,27,25,147,161408,161744,70200,687,0,39
39,13,22,688,39,0,27,27,32,161408,161745,70200,112828,0,39
39,21,1,112893,39,0,27,27,32,161408,161746,70200,112134,0,39
39,14,23,111139,39,0,27,27,249,161408,161747,70200,114640,0,39
39,28,15,112606,39,0,27,25,180,161408,161748,70200,691,0,39
39,17,19,111651,39,0,28,27,32,161408,161749,70200,114161,0,39
39,6,10,698,39,0,26,27,178,161408,161751,70200,111065,0,39
39,16,25,113018,39,0,27,27,178,161408,161752,70200,111138,0,39
39,11,7,694,39,0,27,27,33,161408,161753,70200,111140,0,39
39,5,2,697,39,0,28,25,161,161408,161754,70200,112996,0,39
41,6,15,299,41,0,21,21,32,161409,162007,69300,298,0,41
41,10,16,1456,41,0,21,21,180,161409,162009,52200,418,0,41
41,3,14,1757,41,0,20,20,34,161409,162011,61200,919,0,41
41,9,1,918,41,0,21,21,34,161407,162012,68400,1756,0,41
41,11,13,1463,41,0,21,21,34,161409,162013,61200,922,0,41
56,1,5,433,56,0,21,21,176,161409,162247,50400,320,0,56
56,4,3,710,56,0,20,21,261,161409,162248,50400,112072,0,56
56,11,2,708,56,0,21,21,261,161410,162249,69000,702,0,56
56,12,8,711,56,0,20,21,249,161409,162250,59400,319,0,56
56,6,13,321,56,0,21,21,34,161409,162251,59400,700,0,56
56,10,9,113458,56,0,21,21,34,161409,162252,50400,111705,0,56
56,14,16,1439,56,0,21,21,249,161409,162253,59400,112126,0,56
65,1,8,305,65,0,27,28,34,161400,162413,71100,834,0,65
65,7,10,837,65,0,28,28,34,161399,162455,71100,423,0,65
65,8,2,445,65,0,29,27,34,161407,162464,71100,305,0,65
65,3,6,306,65,0,27,29,34,161407,162468,71100,563,0,65
2012,2,7,112163,2012,0,24,24,195,161407,162888,74100,110955,0,2012
2012,4,3,116360,2012,0,24,24,32,161408,162890,74100,111768,0,2012
2012,8,6,111774,2012,0,24,24,195,161408,162891,74100,111779,0,2012
2012,14,12,112985,2012,0,24,24,196,161408,162892,75600,114628,0,2012
2012,16,13,111769,2012,0,24,24,33,161409,162893,74100,112979,0,2012
2012,9,10,131173,2012,0,24,24,195,161409,162894,75600,116361,0,2012
83,6,7,112258,83,0,29,29,34,161407,163109,70200,1474,0,83
83,1,2,1473,83,0,29,29,176,161407,163110,70200,112115,0,83
83,9,5,982,83,0,29,29,261,161408,163111,59400,980,0,83
83,12,8,1478,83,0,29,29,158,161408,163112,68400,2056,0,83
83,11,3,112558,83,0,29,29,182,161408,163113,68400,1477,0,83
2221,11,9,116311,2221,0,18,18,458,161400,163537,68400,116300,0,2221
2221,6,2,116304,2221,0,18,18,193,161401,163538,45000,116302,0,2221
2221,14,4,116310,2221,0,18,18,430,161402,163541,46800,116306,0,2221
2221,1,7,116305,2221,0,18,18,181,161402,163542,61200,116307,0,2221
2221,5,12,116312,2221,0,18,18,153,161402,163543,61200,116303,0,2221
